ID_subjsess,ID_subj,ID_sess,ID_sex,ID_agegroup,ID_bdate,ID_tdate,ID_race,ID_ethnicity,ID_weight1,ID_weight2,ID_height1,ID_height2,ID_rightleg1,ID_rightleg2,ID_leftleg1,ID_leftleg2,ID_locomotor,onset,offset,task_ordinal,task_task,computervision_ordinal,computervision_videopreset,usedata_ordinal,usedata_playdata,object1_ordinal,object1_obj,object1_action_state_ordinal,object1_action_state_obj,object1_action_state_action,object1_action_state_noise,object1_action_state_detach,object1_action_state_reattach,object1_action_state_takeout,object1_action_state_putin,object1_action_state_popup,object1_action_state_hidden,object1_action_state_open,object1_action_state_close,object2_ordinal,object2_obj,object2_action_state_ordinal,object2_action_state_obj,object2_action_state_action,object2_action_state_noise,object2_action_state_detach,object2_action_state_reattach,object2_action_state_takeout,object2_action_state_putin,object2_action_state_popup,object2_action_state_hidden,object2_action_state_open,object2_action_state_close
15_10,15,10,m,17,08/28/21,02/02/23,w,n,10.25,10.27,77.8,76.8,34,.,34.2,.,w,152626,760988,1,p,1,p,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_10,15,10,m,17,08/28/21,02/02/23,w,n,10.25,10.27,77.8,76.8,34,.,34.2,.,w,760988,874820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_10,15,10,m,17,08/28/21,02/02/23,w,n,10.25,10.27,77.8,76.8,34,.,34.2,.,w,874820,879308,2,r,2,r,2,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_10,15,10,m,17,08/28/21,02/02/23,w,n,10.25,10.27,77.8,76.8,34,.,34.2,.,w,879308,879309,2,r,2,r,2,r,1,r,1,r,p,,,,,,,,,,,,,,,,,,,,,,,
15_10,15,10,m,17,08/28/21,02/02/23,w,n,10.25,10.27,77.8,76.8,34,.,34.2,.,w,879309,880328,2,r,2,r,2,r,1,r,,,,,,,,,,,,,,,,,,,,,,,,,,
15_10,15,10,m,17,08/28/21,02/02/23,w,n,10.25,10.27,77.8,76.8,34,.,34.2,.,w,880328,880329,2,r,2,r,2,r,1,r,2,r,s,y,,,,,,,,,,,,,,,,,,,,,,
15_10,15,10,m,17,08/28/21,02/02/23,w,n,10.25,10.27,77.8,76.8,34,.,34.2,.,w,880329,883218,2,r,2,r,2,r,1,r,,,,,,,,,,,,,,,,,,,,,,,,,,
15_10,15,10,m,17,08/28/21,02/02/23,w,n,10.25,10.27,77.8,76.8,34,.,34.2,.,w,883218,883219,2,r,2,r,2,r,1,r,3,r,d,,,,,,,,,,,,,,,,,,,,,,,
15_10,15,10,m,17,08/28/21,02/02/23,w,n,10.25,10.27,77.8,76.8,34,.,34.2,.,w,883219,884374,2,r,2,r,2,r,1,r,,,,,,,,,,,,,,,,,,,,,,,,,,
15_10,15,10,m,17,08/28/21,02/02/23,w,n,10.25,10.27,77.8,76.8,34,.,34.2,.,w,884374,884375,2,r,2,r,2,r,1,r,4,r,p,,,,,,,,,,,,,,,,,,,,,,,
