ID_subjsess,ID_subj,ID_sess,ID_sex,ID_agegroup,ID_bdate,ID_tdate,ID_race,ID_ethnicity,ID_weight1,ID_weight2,ID_height1,ID_height2,ID_rightleg1,ID_rightleg2,ID_leftleg1,ID_leftleg2,ID_locomotor,onset,offset,task_ordinal,task_task,computervision_ordinal,computervision_videopreset,usedata_ordinal,usedata_playdata,object1_clean_ordinal,object1_clean_obj,object1_action_state_clean_dur_actstateord,object1_action_state_clean_dur_hands,object1_action_state_clean_dur_mouth,object1_action_state_clean_dur_feet,object1_action_state_clean_dur_wholebody,object1_action_state_clean_dur_object,object1_action_state_clean_dur_action,object1_action_state_clean_dur_noise,object1_action_state_clean_dur_detach,object1_action_state_clean_dur_reattach,object1_action_state_clean_dur_takeout,object1_action_state_clean_dur_putin,object1_action_state_clean_dur_popup,object1_action_state_clean_dur_hidden,object1_action_state_clean_dur_open,object1_action_state_clean_dur_close,object1_action_state_clean_dur_flipped,object1_action_state_clean_point_actstateord,object1_action_state_clean_point_hands,object1_action_state_clean_point_mouth,object1_action_state_clean_point_feet,object1_action_state_clean_point_wholebody,object1_action_state_clean_point_object,object1_action_state_clean_point_action,object1_action_state_clean_point_noise,object1_action_state_clean_point_detach,object1_action_state_clean_point_reattach,object1_action_state_clean_point_takeout,object1_action_state_clean_point_putin,object1_action_state_clean_point_popup,object1_action_state_clean_point_hidden,object1_action_state_clean_point_open,object1_action_state_clean_point_close,object1_action_state_clean_point_flipped,object2_clean_ordinal,object2_clean_obj,object2_action_state_clean_dur_actstateord,object2_action_state_clean_dur_hands,object2_action_state_clean_dur_mouth,object2_action_state_clean_dur_feet,object2_action_state_clean_dur_wholebody,object2_action_state_clean_dur_object,object2_action_state_clean_dur_action,object2_action_state_clean_dur_noise,object2_action_state_clean_dur_detach,object2_action_state_clean_dur_reattach,object2_action_state_clean_dur_takeout,object2_action_state_clean_dur_putin,object2_action_state_clean_dur_popup,object2_action_state_clean_dur_hidden,object2_action_state_clean_dur_open,object2_action_state_clean_dur_close,object2_action_state_clean_dur_flipped,object2_action_state_clean_point_actstateord,object2_action_state_clean_point_hands,object2_action_state_clean_point_mouth,object2_action_state_clean_point_feet,object2_action_state_clean_point_wholebody,object2_action_state_clean_point_object,object2_action_state_clean_point_action,object2_action_state_clean_point_noise,object2_action_state_clean_point_detach,object2_action_state_clean_point_reattach,object2_action_state_clean_point_takeout,object2_action_state_clean_point_putin,object2_action_state_clean_point_popup,object2_action_state_clean_point_hidden,object2_action_state_clean_point_open,object2_action_state_clean_point_close,object2_action_state_clean_point_flipped,object3_clean_ordinal,object3_clean_obj,object3_action_state_clean_dur_actstateord,object3_action_state_clean_dur_hands,object3_action_state_clean_dur_mouth,object3_action_state_clean_dur_feet,object3_action_state_clean_dur_wholebody,object3_action_state_clean_dur_object,object3_action_state_clean_dur_action,object3_action_state_clean_dur_noise,object3_action_state_clean_dur_detach,object3_action_state_clean_dur_reattach,object3_action_state_clean_dur_takeout,object3_action_state_clean_dur_putin,object3_action_state_clean_dur_popup,object3_action_state_clean_dur_hidden,object3_action_state_clean_dur_open,object3_action_state_clean_dur_close,object3_action_state_clean_dur_flipped,object3_action_state_clean_point_actstateord,object3_action_state_clean_point_hands,object3_action_state_clean_point_mouth,object3_action_state_clean_point_feet,object3_action_state_clean_point_wholebody,object3_action_state_clean_point_object,object3_action_state_clean_point_action,object3_action_state_clean_point_noise,object3_action_state_clean_point_detach,object3_action_state_clean_point_reattach,object3_action_state_clean_point_takeout,object3_action_state_clean_point_putin,object3_action_state_clean_point_popup,object3_action_state_clean_point_hidden,object3_action_state_clean_point_open,object3_action_state_clean_point_close,object3_action_state_clean_point_flipped
05_03,5,3,m,16,01/06/21,05/04/22,a,n,.,.,.,.,.,.,.,.,w,253300,253301,1.0,r,1.0,r,1.0,r,8.0,g,,,,,,,,,,,,,,,,,,27.0,y,.,.,.,.,p,.,y,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05_03,5,3,m,16,01/06/21,05/04/22,a,n,.,.,.,.,.,.,.,.,w,420818,420819,1.0,r,1.0,r,1.0,r,10.0,bu,,,,,,,,,,,,,,,,,,51.0,y,.,.,.,.,da,.,y,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05_04,5,4,m,17,01/06/21,06/14/22,a,n,10.85,10.84,77.9,.,34,34.5,34.3,34,w,981580,981581,1.0,r,1.0,r,1.0,r,20.0,g,,,,,,,,,,,,,,,,,,72.0,y,.,.,.,.,p,.,y,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07_02,7,2,f,11,04/08/21,03/21/22,a,n,9.33,9.33,73.9,74.0,31.0,31.0,.,.,w,535704,537303,1.0,r,1.0,r,1.0,r,12.0,bu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,g,56.0,y,.,.,.,.,s,.,y,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_04,18,4,m,15,09/02/21,12/09/22,w,n,11.56,11.58,81.3,80.8,35.5,.,35.5,.,w,1003714,1003715,2.0,r,2.0,r,2.0,r,7.0,bu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,g,,,,,,,,,,,,,,,,,,112.0,y,.,.,.,.,p,.,y,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_09,19,9,f,18,03/21/22,09/25/23,m,r,10.79,.,79.6,78.7,.,.,.,.,w,1536426,1536427,2.0,r,2.0,r,3.0,r,15.0,g,,,,,,,,,,,,,,,,,,56.0,y,.,.,.,.,p,.,y,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_09,19,9,f,18,03/21/22,09/25/23,m,r,10.79,.,79.6,78.7,.,.,.,.,w,1554038,1555161,2.0,r,2.0,r,3.0,r,15.0,g,60.0,y,.,.,.,.,s,.,y,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_12,20,12,m,16,03/09/22,07/14/23,m,n,11.83,.,81.0,.,.,.,.,.,w,1150492,1150493,2.0,r,2.0,r,2.0,r,3.0,bu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,g,,,,,,,,,,,,,,,,,,99.0,y,.,.,.,.,p,.,y,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_13,20,13,m,17,03/09/22,08/10/23,m,n,11.72,11.72,82.8,.,36.5,.,36.5,.,w,1395904,1395905,2.0,r,2.0,r,2.0,r,1.0,g,,,,,,,,,,,,,,,,,,1.0,y,.,.,.,.,p,.,y,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_09,21,9,f,17,12/11/21,05/18/23,m,n,9.98,10.00,78.9,79.1,36,.,36,.,w,1044990,1044991,2.0,r,2.0,r,2.0,r,2.0,g,,,,,,,,,,,,,,,,,,2.0,y,.,.,.,.,p,.,y,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
